id,prompt,difficulty,category
1,How do I reverse a string in Python without using the slice notation [::-1]?,simple,algorithms & data structures
2,Can you help me write a function to find the middle element of a linked list in one pass?,simple,algorithms & data structures
3,I need to check if two arrays contain the same elements in any order. What's the most efficient way to do this?,simple,algorithms & data structures
4,Write a simple bubble sort algorithm and explain how it works step by step.,simple,algorithms & data structures
5,How do I detect if a number is a palindrome? Can you show me a solution?,simple,algorithms & data structures
6,I'm trying to find the intersection of two sorted arrays. What approach should I use?,simple,algorithms & data structures
7,Can you explain the difference between a stack and a queue with a practical example?,simple,algorithms & data structures
8,Write a function that removes duplicate elements from a list while preserving order.,simple,algorithms & data structures
9,How do I check if a string has all unique characters efficiently?,simple,algorithms & data structures
10,I need to flatten a nested list. What's a recursive solution for this?,simple,algorithms & data structures
11,Explain what Big O notation means and give me examples of O(n) vs O(n²) algorithms.,simple,algorithms & data structures
12,Write code to find the Kth largest element in an unsorted array.,simple,algorithms & data structures
13,How can I merge two sorted lists into one sorted list?,simple,algorithms & data structures
14,I have a list and need to rotate it by K positions. Can you help me code this?,simple,algorithms & data structures
15,What's the fastest way to check if a value exists in a data structure?,simple,algorithms & data structures
16,Can you show me how to implement a simple hash table from scratch?,simple,algorithms & data structures
17,How do I find the longest substring without repeating characters?,simple,algorithms & data structures
18,Write a function to check if a string is an anagram of another string.,simple,algorithms & data structures
19,Explain the difference between an array and a linked list with pros and cons.,simple,algorithms & data structures
20,I need to count the frequency of each element in a list. What data structure should I use?,simple,algorithms & data structures
21,How do I find all pairs in an array that sum to a target value?,simple,algorithms & data structures
22,Can you explain what a binary search tree is and why it's useful?,simple,algorithms & data structures
23,Write code to traverse a 2D grid and mark all connected regions of the same value.,simple,algorithms & data structures
24,What's the difference between depth-first search and breadth-first search? Show me examples.,simple,algorithms & data structures
25,"How do I sort an array containing only 0s, 1s, and 2s efficiently without using a sorting function?",simple,algorithms & data structures
26,Write a function that returns the smallest missing positive integer in an unsorted array.,simple,algorithms & data structures
27,How do I check if a linked list has a cycle? Can you show me an efficient solution?,simple,algorithms & data structures
28,I need to implement a simple queue using two stacks. What's the logic behind this?,simple,algorithms & data structures
29,Find the common element between two arrays that have no duplicates. What's the best approach?,simple,algorithms & data structures
30,How would you implement a basic LRU cache? Can you walk me through the data structures needed?,simple,algorithms & data structures
31,Write code to calculate the maximum sum of any contiguous subarray.,simple,algorithms & data structures
32,What's the difference between a set and a dictionary? When would I use each one?,simple,algorithms & data structures
33,I'm trying to check if a number is prime efficiently. What algorithm should I use?,simple,algorithms & data structures
34,Can you help me write a function to find the mode (most frequent element) in a list?,simple,algorithms & data structures
35,How do I implement exponential search? When is it better than binary search?,simple,algorithms & data structures
36,Write a function to determine if a sequence of brackets is balanced or valid.,simple,algorithms & data structures
37,What's the most efficient way to find duplicates in an array of n+1 integers where values range from 1 to n?,simple,algorithms & data structures
38,Can you explain how insertion sort works and when you'd prefer it over quicksort?,simple,algorithms & data structures
39,I need to find the longest common subsequence between two strings. How do I approach this?,simple,algorithms & data structures
40,Write code to perform an in-place rotation of a matrix 90 degrees clockwise.,simple,algorithms & data structures
41,What's the difference between heap sort and merge sort in terms of space complexity?,simple,algorithms & data structures
42,How do I implement a trie data structure for efficient string prefix searches?,simple,algorithms & data structures
43,How do I center a div horizontally and vertically on a page using flexbox?,simple,web development (frontend)
44,Can you explain the difference between margin and padding in CSS?,simple,web development (frontend)
45,I'm getting a 'Cannot read property of undefined' error when trying to access an object property. What does this mean?,simple,web development (frontend)
46,How do I add a click event listener to a button and log a message when it's clicked?,simple,web development (frontend)
47,What's the best way to create a responsive navigation bar that collapses on mobile?,simple,web development (frontend)
48,Can you show me how to fetch data from an API and display it on the page?,simple,web development (frontend)
49,Why isn't my CSS rule being applied to my element even though the selector looks correct?,simple,web development (frontend)
50,How do I validate an email input field before submitting a form?,simple,web development (frontend)
51,"What's the difference between let, const, and var in JavaScript?",simple,web development (frontend)
52,I need to toggle a class on an element when a button is clicked. How do I do that?,simple,web development (frontend)
53,How do I create a dropdown menu that opens and closes when you click on it?,simple,web development (frontend)
54,"What's the proper way to structure a semantic HTML page with header, nav, main, and footer?",simple,web development (frontend)
55,Can you help me fix this CSS grid layout that isn't displaying items correctly?,simple,web development (frontend)
56,How do I prevent form submission and handle it with JavaScript instead?,simple,web development (frontend)
57,What's the difference between innerHTML and textContent when updating DOM elements?,simple,web development (frontend)
58,How do I make an image responsive so it scales properly on different screen sizes?,simple,web development (frontend)
59,I have a setTimeout callback that's not firing as expected. What could be wrong?,simple,web development (frontend)
60,How do I use CSS media queries to make my website look good on tablets and phones?,simple,web development (frontend)
61,Can you explain how CSS specificity works and why my styles are being overridden?,simple,web development (frontend)
62,What's the right way to handle form input changes and update state in real time?,simple,web development (frontend)
63,How do I create a smooth scroll animation when a user clicks an anchor link?,simple,web development (frontend)
64,I'm trying to loop through an array and create elements for each item. What's the best approach?,simple,web development (frontend)
65,Why are my fonts not loading from Google Fonts and how do I debug this?,simple,web development (frontend)
66,How do I add a dark mode toggle that persists when the user refreshes the page?,simple,web development (frontend)
67,Can you show me how to debounce a search input to avoid making too many API calls?,simple,web development (frontend)
68,How do I create a simple counter that increments when I click a button and displays the updated value?,simple,web development (frontend)
